n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
5000,0.2,1,opt,inf,-inf,,0.4369330519342401,0.43693305193422666,3.074543923490185e-14,317,1.0,1.9663810729980469
5000,0.2,1,tree,,,,0.43693305193424015,,,317,0.0,43.85564088821411
5000,0.2,2,original,0.43849241188329774,0.4381911127308629,0.0006871251229656597,0.4384884151401147,0.43848841644833364,-2.983474310632129e-09,319,668.0,39.31222105026245
5000,0.2,2,opt,inf,-inf,,0.4384884150900006,0.43848841508998826,2.8104449625675563e-14,319,1.0,1.7574689388275146
5000,0.2,2,tree,,,,0.43848841509000064,,,319,0.0,40.76893949508667
5000,0.2,3,original,0.443844196024189,0.442249237870029,0.0035935090927111603,0.44281989207069383,0.4427811049725037,8.759113780714063e-05,320,1962.0,52.81905484199524
5000,0.2,3,opt,inf,-inf,,0.44281988839013425,0.44281988839012215,2.732811078655206e-14,320,1.0,2.015202045440674
5000,0.2,3,tree,,,,0.4428198883901342,,,320,0.0,45.18647074699402
5000,0.2,4,original,0.44152848870824213,0.4366647624574755,0.011015656690684227,0.43702007619354843,0.4369801588968063,9.133973223795931e-05,296,1568.0,46.21761393547058
5000,0.2,4,opt,inf,-inf,,0.43702007389547887,0.43702007389546615,2.908803140012822e-14,296,1.0,1.8770480155944824
5000,0.2,4,tree,,,,0.4370200738954789,,,296,0.0,40.57496738433838
10000,0.2,0,original,0.44708814907656547,0.4465992922981815,0.0010934237004350386,0.4467886602182238,0.446736346308707,0.00011708871369119841,561,8275.0,600.0250840187073
10000,0.2,0,opt,0.4467886571955445,0.4467426083779606,0.00010306621898808901,0.4467886573772891,0.4467886571955445,4.067798417735774e-10,561,3.0,7.93686318397522
10000,0.2,0,tree,,,,0.4467886573125053,,,561,0.0,186.7174050807953
10000,0.2,1,original,0.4535496141154641,0.44852494831753653,0.011078536154698101,0.44871269886407106,0.4486627596563361,0.00011129439363174193,534,9674.0,600.0181560516357
10000,0.2,1,opt,inf,-inf,,0.44871265354771633,0.4487126010038326,1.1709917990622331e-07,533,1.0,7.9317309856414795
10000,0.2,1,tree,,,,0.4487126534705298,,,533,0.0,188.4111683368683
10000,0.2,2,original,0.4483432412977515,0.44651863997278096,0.004069652794785383,0.44732361183913927,0.44711377183396517,0.0004691011152113294,553,46287.0,600.0168030261993
10000,0.2,2,opt,inf,-inf,,0.4473236111615975,0.4473236111615668,6.862518736976734e-14,553,1.0,7.154339075088501
10000,0.2,2,tree,,,,0.44732361116084585,,,553,0.0,174.4361011981964
10000,0.2,3,original,0.45010413963949203,0.44846590372593714,0.003639681951974538,0.45010413963949286,0.4500820560899168,4.906320033791522e-05,538,1.0,112.90093898773193
10000,0.2,3,opt,inf,-inf,,0.45010151372786433,0.4501015137278422,4.920878660866566e-14,538,1.0,6.890667200088501
10000,0.2,3,tree,,,,0.4501015137278639,,,538,0.0,175.0882441997528
10000,0.2,4,original,0.4507602446469068,0.4459575785869616,0.010654591031441193,0.44613406565701885,0.4460819180709506,0.0001168877027838133,553,11714.0,600.5002319812775
10000,0.2,4,opt,0.4461340555101825,0.4460880088395235,0.00010321263326633363,0.4461340580914109,0.4461340555101825,5.785768539469512e-09,553,3.0,7.670360803604126
10000,0.2,4,tree,,,,0.44613405808357515,,,553,0.0,170.48231482505798
